Ferdinand,6.7,"Animation, Adventure, Comedy"
Brother Bear,6.8,"Animation, Adventure, Comedy"
The Polar Express,6.6,"Animation, Adventure, Comedy"
Gnomeo & Juliet,5.9,"Animation, Adventure, Comedy"
Happy Feet,6.4,"Animation, Adventure, Comedy"
Corpse Bride,7.3,"Animation, Drama, Family"
Heavy Metal,6.6,"Animation, Adventure, Fantasy"
Paprika,7.7,"Animation, Drama, Fantasy"
Ice Age: Continental Drift,6.5,"Animation, Adventure, Comedy"
One Hundred and One Dalmatians,7.3,"Animation, Adventure, Comedy"
The Lego Movie 2: The Second Part,6.6,"Animation, Action, Adventure"
Open Season,6.1,"Animation, Adventure, Comedy"
Despicable Me 3,6.2,"Animation, Adventure, Comedy"
Chicken Little,5.7,"Animation, Adventure, Comedy"
The Wind Rises,7.7,"Animation, Biography, Drama"
The Secret World of Arrietty,7.6,"Animation, Adventure, Drama"
The Fox and the Hound,7.2,"Animation, Adventure, Drama"
Oliver & Company,6.6,"Animation, Adventure, Comedy"
Jujutsu Kaisen 0: The Movie,7.8,"Animation, Action, Fantasy"
Lady and the Tramp,7.3,"Animation, Adventure, Comedy"
Monster House,6.6,"Animation, Comedy, Family"
Sleeping Beauty,7.2,"Animation, Adventure, Family"
Castle in the Sky,8.0,"Animation, Adventure, Family"
The Grinch,6.4,"Animation, Comedy, Family"
Nausicaä of the Valley of the Wind,8.0,"Animation, Adventure, Sci-Fi"
Spies in Disguise,6.8,"Animation, Action, Adventure"
Ice Age: Dawn of the Dinosaurs,6.9,"Animation, Adventure, Comedy"
Aqua Teen Forever: Plantasm,6.2,"Animation, Comedy"
The Lord of the Rings,6.2,"Animation, Adventure, Fantasy"
Garfield,5.0,"Animation, Adventure, Comedy"
James and the Giant Peach,6.7,"Animation, Adventure, Family"
Memories,7.5,"Animation, Sci-Fi, Thriller"
Ice Age: Collision Course,5.6,"Animation, Adventure, Comedy"
Rumble,5.9,"Animation, Comedy, Family"
Cool World,4.8,"Animation, Comedy, Fantasy"
Madagascar: Escape 2 Africa,6.6,"Animation, Adventure, Comedy"
The SpongeBob SquarePants Movie,7.1,"Animation, Adventure, Comedy"
Hotel Transylvania 2,6.6,"Animation, Adventure, Comedy"
Madagascar 3: Europe's Most Wanted,6.8,"Animation, Adventure, Comedy"
Pinocchio,7.5,"Animation, Adventure, Comedy"
Mary and Max,8.1,"Animation, Comedy, Drama"
Antz,6.5,"Animation, Adventure, Comedy"
Cloudy with a Chance of Meatballs 2,6.3,"Animation, Adventure, Comedy"
Surf's Up,6.7,"Animation, Adventure, Comedy"
Storks,6.8,"Animation, Adventure, Comedy"
Klaus,8.2,"Animation, Adventure, Comedy"
Wish Dragon,7.2,"Animation, Adventure, Comedy"
Clifford the Big Red Dog,5.9,"Animation, Adventure, Comedy"
Ice Age: The Meltdown,6.8,"Animation, Adventure, Comedy"
Hotel Transylvania 3: Summer Vacation,6.3,"Animation, Adventure, Comedy"
Ron's Gone Wrong,7.0,"Animation, Adventure, Comedy"
Epic,6.6,"Animation, Action, Adventure"
Mavka: The Forest Song,8.5,"Animation, Comedy, Family"
Unicorn Wars,6.8,"Animation, Action, Comedy"
The Black Cauldron,6.3,"Animation, Action, Adventure"
